BATHRM,HF_BATHRM,HEAT,AC,BEDRM,AYB,EYB,PRICE,GBA,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,WARD,SALEYEAR,RMDL
3,0,Warm Cool,1,4,1951.0,1972,1062000.0,2175.0,1 Story,Single,Above Average,5,Brick/Stone,Built Up,Hardwood,2,2,12,5496,Ward 4,2013.0,1
2,1,Warm Cool,1,4,1977.0,1986,899999.0,2250.0,2 Story,Single,Good Quality,4,Common Brick,Comp Shingle,Hardwood,1,1,12,5015,Ward 4,2017.0,0
3,1,Warm Cool,1,4,1941.0,1967,770100.0,2093.0,2.5 Story Fin,Single,Above Average,4,Common Brick,Slate,Hardwood,1,2,12,5436,Ward 4,2012.0,1
2,1,Warm Cool,1,3,1960.0,1978,952500.0,1598.0,Split Level,Single,Above Average,4,Common Brick,Comp Shingle,Hardwood,1,1,12,8993,Ward 4,2014.0,1
3,2,Warm Cool,1,4,1938.0,1972,1270000.0,3021.0,2.5 Story Fin,Single,Very Good,4,Common Brick,Slate,Hardwood,1,3,12,10492,Ward 4,2016.0,1
3,0,Warm Cool,1,3,1951.0,1972,803000.0,1442.0,1 Story,Single,Above Average,4,Common Brick,Slate,Hardwood,1,1,12,9525,Ward 4,2016.0,1
1,1,Forced Air,1,4,1915.0,1969,830000.0,2260.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,1,11,2585,Ward 1,2010.0,1
3,1,Hot Water Rad,0,4,1915.0,1969,910000.0,2312.0,2 Story,Row End,Good Quality,3,Common Brick,Metal- Sms,Hardwood,1,1,11,4400,Ward 1,2013.0,1
3,1,Hot Water Rad,1,4,1915.0,1969,837000.0,2277.0,2 Story,Row End,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,1,11,4125,Ward 1,2013.0,1
3,0,Forced Air,1,5,1915.0,1986,1036000.0,2343.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,1,11,2585,Ward 1,2013.0,1
3,0,Forced Air,1,3,1970.0,1997,1260000.0,2188.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,2,11,2585,Ward 1,2016.0,1
3,0,Hot Water Rad,1,5,1917.0,1969,1225000.0,2358.0,2 Story,Row End,Good Quality,4,Common Brick,Metal- Sms,Hardwood,2,1,24,1485,Ward 1,2016.0,1
2,2,Hot Water Rad,0,4,1917.0,1969,875000.0,1846.0,2 Story,Row Inside,Good Quality,3,Common Brick,Metal- Sms,Hardwood,1,1,11,1398,Ward 1,2016.0,1
4,1,Hot Water Rad,1,3,1916.0,1969,711000.0,1846.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,1,11,2064,Ward 1,2012.0,1
3,0,Warm Cool,1,3,1916.0,1982,1049000.0,2220.0,2.5 Story Fin,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,2,1,11,2200,Ward 1,2015.0,1
2,1,Hot Water Rad,1,4,1875.0,1980,725000.0,1688.0,2 Story,Row Inside,Above Average,4,Common Brick,Metal- Sms,Hardwood,2,0,24,1600,Ward 1,2012.0,1
3,1,Hot Water Rad,1,5,1895.0,1980,830000.0,1776.0,2 Story,Row Inside,Above Average,4,Stucco Block,Metal- Sms,Hardwood,2,0,24,1600,Ward 1,2015.0,1
2,1,Hot Water Rad,1,3,1909.0,1972,765000.0,2755.0,3 Story,Row Inside,Very Good,4,Common Brick,Metal- Sms,Hardwood,1,0,11,1375,Ward 1,2011.0,1
3,1,Hot Water Rad,1,7,1907.0,1963,1210000.0,3440.0,3 Story,Row Inside,Very Good,3,Common Brick,Metal- Sms,Hardwood,1,5,11,2000,Ward 1,2016.0,0
3,0,Warm Cool,1,4,1907.0,1972,1380000.0,3135.0,3 Story,Multi,Very Good,3,Common Brick,Built Up,Hardwood,3,3,24,1375,Ward 1,2016.0,1
4,0,Forced Air,1,8,1916.0,1972,1295000.0,3403.0,3 Story,Row End,Very Good,4,Common Brick,Metal- Sms,Hardwood,2,1,24,1412,Ward 1,2015.0,1
3,1,Forced Air,1,7,1916.0,1984,1199000.0,2469.0,3 Story,Row Inside,Very Good,4,Common Brick,Built Up,Hardwood,2,2,11,1428,Ward 1,2016.0,1
3,1,Hot Water Rad,0,5,1916.0,1987,720000.0,2469.0,3 Story,Row Inside,Very Good,3,Common Brick,Metal- Sms,Hardwood,2,1,24,1482,Ward 1,2011.0,1
3,1,Hot Water Rad,0,6,1916.0,1987,1050000.0,2562.0,3 Story,Row Inside,Very Good,4,Common Brick,Metal- Sms,Hardwood,1,0,11,1482,Ward 1,2014.0,1
